Sr.NO,shortName,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,grossProfits,freeCashflow,currentPrice,earningsGrowth,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,quoteType,symbol,enterpriseToRevenue,enterpriseToEbitda,forwardEps,sharesOutstanding,bookValue,trailingEps,priceToBook,heldPercentInsiders,enterpriseValue,earningsQuarterlyGrowth,pegRatio,forwardPE,marketCap
11,Johnson & Johnson,Drug Manufacturers—General,0.34803,0.22264,0.6827,23409999872,0.104,0.26923,32636999680,64020000000,18816999424,176.92,1.723,1.348,0.08842,46.946,0.30412,31608000512,34751000576,93775003648,12.022,USD,35.627,1.037,EQUITY,JNJ,4.467,12.836,10.38,2632600064,26.694,6.691,6.6277065,0.00086000003,418935472128,1.725,2.13,17.044315,465759600640
13,Walmart Inc.,Discount Stores,0.0639,0.02387,0.25099,24181000192,0.005,0.045289997,36600000512,143754000000,13358499840,143.45,,0.928,0.0652,62.382,0.15539,14759999488,57322999808,572753969152,5.33,USD,205.141,0.264,EQUITY,WMT,0.743,11.625,6.72,2773880064,29.616,2.84,4.8436656,0.47501,425459023872,,2.73,21.346725,397913096192
14,Procter & Gamble Company (The),Household & Personal Products,0.27021998,0.1852,0.49445,17972000768,0.061,0.23464,21170999296,39144000000,11721624576,152.83,0.126,0.672,0.09514,79.418,0.31092,11544000512,35653001216,78346002432,4.816,USD,32.166,0.441,EQUITY,PG,4.965,18.375,6.36,2419950080,18.7,5.472,8.172727,0.0011100001,389018681344,0.096,3.98,24.029875,369840979968
15,Exxon Mobil Corporation,Oil & Gas Integrated,0.16555999,0.08259,0.32276002,48128999424,0.794,0.09599,46186999808,90045000000,28528625664,85.2,,1.044,0.049840003,30.184,0.13889,6801999872,53028999168,278980984832,1.607,USD,65.259,0.692,EQUITY,XOM,1.341,8.103,5.88,4233540096,37.932,-1.386,2.2461245,0.00102,374239297536,,13.11,14.489795,363009933312
17,Mastercard Incorporated,Credit Services,0.58217996,0.46001998,1,9463000064,0.266,0.54374003,10993999872,18884000000,8458124800,349.02,0.355,1.288,0.18013,197.963,1.2473301,7894000128,14673000448,18883999744,8.076,USD,19.113,0.928,EQUITY,MA,19.041,32.706,10.53,974708992,6.814,8.13,51.221012,0.10855,359572045824,0.333,1.73,33.145298,342932029440
18,"Home Depot, Inc. (The)",Home Improvement Retail,0.17396,0.10791001,0.33718,14810000384,0.098,0.15505,25693999104,44853000000,9990124544,310.68,0.233,1.132,0.20454,4373.43,12.4031105,5066999808,45264998400,147699007488,4.852,USD,138.978,0.32,EQUITY,HD,3.191,18.343,16.19,1044240000,0.989,14.955,314.13547,0.00061,471301718016,0.203,1.95,19.189623,324424466432
19,Chevron Corporation,Oil & Gas Integrated,0.21459,0.10041001,0.42565,29199998976,0.846,0.09956,33392001024,66234000000,,169.31,,,,27.316,0.116450004,6032000000,37347000320,155606007808,3.129,USD,81.214,,EQUITY,CVX,1.877,8.748,9.51,1927689984,70.479,5.173,2.402276,0.00037,292123443200,,-2.98,17.803364,326377177088
20,"Pfizer, Inc.",Drug Manufacturers—General,0.39382,0.28684,0.65414,32291000320,1.344,0.32139,27306000384,33334000000,42431250432,52.78,4.468,1.385,0.07777,52.496,0.27747,29702000640,39879000064,69336997888,5.292,USD,12.407,1.088,EQUITY,PFE,4.565,11.592,49.43,5612870144,13.49,3.501,3.9125278,0.00037999998,316521611264,4.545,0.01,1.0677726,296247263232
21,AbbVie Inc.,Drug Manufacturers—General,0.50286996,0.20538001,0.69338,,0.074,0.34765,28259663872,38966000000,,161.33,248.779,,,594.66,0.86594003,12248999936,80737001472,56197001216,6.929,USD,31.625,,EQUITY,ABBV,5.808,11.55,13.97,1767879936,7.665,4.196,21.047619,0.00107,326395723776,111.333,2.38,11.548318,285212082176
22,Eli Lilly and Company,Drug Manufacturers—General,0.34789002,0.21515,0.76413,6919399936,0.18,0.29496,9656999936,19056500000,3820699904,289.02,-0.083,1.302,0.11108,215.45,0.92237,3852499968,17137099776,27758499840,4.249,USD,30.578,0.793,EQUITY,LLY,8.955,25.742,7.49,956592000,8.552,6.55,33.7956,0.0015199999,248588304384,-0.081,5.2,38.58745,276474200064
23,Coca-Cola Company (The),Beverages—Non-Alcoholic,0.35199,0.23313999,0.60723996,12855000064,0.161,0.31123,13306000384,19581000000,7007374848,61.53,0.425,1.516,0.07831,172.826,0.39722002,14871000064,41707999232,37802000384,3.443,USD,8.771,1.173,EQUITY,KO,7.651,21.735,2.43,4319419904,5.135,2.031,11.982472,0.00636,289208860672,0.423,2.72,25.320986,265773907968
24,Broadcom Inc.,Semiconductors,0.53639,0.24539,0.73908997,13763999744,0.145,0.31632,14723999744,20288000000,11868749824,628.87,0.521,2.641,0.07164,161.163,0.27556,12163000320,40272998400,27449999360,29.459,USD,66.951,2.266,EQUITY,AVGO,9.65,17.99,36.05,412873984,60.441,15,10.404692,0.02391,264887189504,0.502,1.38,17.444384,259644063744
25,Walt Disney Company (The),Entertainment,0.12761,0.029590001,0.33058,5567000064,0.26,0.051799998,8602999808,22287000000,7388250112,139.14,,1.083,0.0107700005,57.044,0.025390001,15959000064,58312998912,67418001408,8.78,USD,37.124,0.944,EQUITY,DIS,5.03,39.415,5.06,1817660032,48.709,1.094,2.8565562,0.00099,339088572416,,1.07,27.498024,252909207552
26,Costco Wholesale Corporation,Discount Stores,0.046350002,0.02543,0.12755999,9569000448,0.166,0.03744,9413000192,25245000000,687625024,555.71,0.137,1.015,0.07643,53.237,0.30563,13475999744,10115000320,203084005376,30.39,USD,458.227,0.462,EQUITY,COST,1.105,23.838,13.96,443432000,41.636,11.63,13.346864,0.00204,224390807552,0.136,4.42,39.80731,246419603456
27,"Pepsico, Inc.",Beverages—Non-Alcoholic,0.18109,0.10617,0.53927,11123999744,0.116,0.15435,13886000128,38637000000,4287749888,165.24,-0.03,0.945,0.079840004,258.017,0.55412996,6849999872,41257000960,76681003008,4.954,USD,55.546,0.654,EQUITY,PEP,3.574,19.735,6.74,1382649984,11.484,5.87,14.388715,0.00135,274041962496,-0.029,2.85,24.516321,228469096448
28,"Cisco Systems, Inc.",Communication Equipment,0.31235,0.2244,0.63726,14785000448,0.081,0.27665,15864000512,31894000000,10929999872,54.97,0.373,1.618,0.09196,25.032,0.28190002,23352000512,10689000448,50788999168,5.537,USD,12.038,1.408,EQUITY,CSCO,4.227,13.532,3.68,4217609984,10.126,2.69,5.4285994,0.0007,214665986048,0.371,2.73,14.9375,231842021376
29,Thermo Fisher Scientific Inc,Diagnostics & Research,0.32687,0.19701,0.51603,9543000064,0.014,0.26077,12817000448,20234000000,5478624768,574.29,-0.331,1.504,0.07801,85.097,0.20476,4477000192,34870001664,39210999808,11.363,USD,99.52,0.933,EQUITY,TMO,6.206,18.986,21.73,394048000,98.237,21.544,5.845964,0.00207,243341983744,-0.336,2.23,26.42844,226297823232
30,Oracle Corporation,Software—Infrastructure,0.44465,0.24788,0.79958,10254999552,0.057,0.38564,18407999488,32624000000,9675875328,81.73,,1.646,0.092,,,22837999616,78431002624,41399001088,8.552,USD,14.754,1.446,EQUITY,ORCL,6.288,14.141,5.26,2670449920,-3.782,3.543,,0.41914,260298489856,,1.91,15.538023,218255884288
31,Accenture plc,Information Technology Services,0.16804,0.11533,0.32348,7903174144,0.272,0.15195,9030121472,16364128000,6319962112,327.71,0.197,1.223,0.124560006,16.607,0.31948,5644085248,3477277952,53736357888,8.931,USD,84.725,1.101,EQUITY,ACN,4.198,24.983,10.45,632001024,32.2,9.613,10.177329,0.00123,225603960832,0.194,3.82,31.359808,207279521792
32,Verizon Communications Inc.,Telecom Services,0.37467,0.16419001,0.58188,40457998336,0.043,0.25285998,50295001088,77091000000,-24466874368,51.28,0.473,0.974,0.06523,228.038,0.31167,10152999936,178984992768,134238003200,2.452,USD,32.413,0.799,EQUITY,VZ,2.918,7.787,5.4,4197760000,18.609,5.32,2.755656,0.00016000001,391651557376,0.471,2.62,9.496296,215261134848
33,Salesforce.com Inc,Software—Application,0.13629,0.06961,0.74017996,6192000000,0.266,0.03887,3404999936,15814000000,8601624576,211.03,-0.591,1.061,0.00828,25.131,0.035720002,9390999552,14337999872,24982999040,9.534,USD,26.634,0.892,EQUITY,CRM,8.395,61.594,4.71,985000000,57.982,1.818,3.6395779,0.03408,209728503808,-0.567,5.29,44.80467,207864545280
34,Comcast Corporation,Entertainment,0.2935,0.12731,0.66587996,26499000320,0.187,0.17506,33387999232,70443000000,10249124864,47.13,0.955,1.026,0.04559,104.661,0.15312,11806000128,102385999872,113757003776,2.584,USD,24.781,0.889,EQUITY,CMCSA,2.868,9.772,3.69,4559479808,20.964,3.109,2.2481396,0.00676,326278709248,0.999,0.87,12.772358,215333208064
35,Intel Corporation,Semiconductors,0.42865002,0.25142,0.55445,29991000064,0.028,0.27943,33873999872,43815000000,1480125056,51.83,-0.209,2.102,0.08586001,40.508,0.22522,28412999680,38641000448,79023996928,6.978,USD,19.469,1.38,EQUITY,INTC,2.584,6.028,3.7,4067000064,22.151,5.158,2.3398495,0.0007,204177358848,-0.211,3.18,14.008108,210792628224
36,Abbott Laboratories,Medical Devices,0.29229,0.17122,0.5685,11264000000,0.234,0.20906,12366000128,19611000000,8126875136,118.95,0.696,1.826,0.0774,53.112,0.21862,9692000256,18396999680,42308001792,5.481,USD,23.815,1.251,EQUITY,ABT,5.885,20.136,4.76,1768290048,19.466,4.03,6.1106544,0.00728,249001328640,0.705,2.03,24.989494,210338103296
37,"Nike, Inc.",Footwear & Accessories,0.17238002,0.13322,0.45981,7169999872,0.01,0.15739,7982000128,20001000000,4678624768,133.7,0.064,3.068,0.12352,85.252,0.48263,15102999552,12723000320,46306000896,9.551,USD,29.3,2.128,EQUITY,NKE,4.736,27.473,4.82,1277810048,9.431,3.81,14.176652,0.012209999,219285979136,0.069,2.89,27.738588,211623018496
38,Danaher Corporation,Diagnostics & Research,0.35092998,0.21841,0.61304003,8358000128,0.205,0.27732,10336000000,18056000000,5476250112,287.53,0.444,1.431,0.06407,51.513,0.14942001,2585999872,23271999488,29453000704,3.615,USD,41.216,0.887,EQUITY,DHR,7.202,20.522,10.14,714577024,56.239,7.882,5.112644,0.111379996,212116029440,0.441,1.46,28.356014,205462323200
39,Adobe Inc.,Software—Infrastructure,0.41681,0.30548,0.88185,,0.2,0.36756,6579333120,13920000000,,431.62,-0.445,1.248,0.14076,31.581,0.34368,5798000128,4672999936,15784999936,12.181,USD,33.092,1.107,EQUITY,ADBE,15.908,38.165,16.25,475800000,31.086,10.02,13.8847065,0.00312,251102642176,-0.452,2.62,26.56123,205364789248
